Date,company,High,Low,Open,Close,Volume,Adj Close
2021-01-04,K,62.209999084472656,60.95000076293945,62.02000045776367,61.45000076293945,3158800,61.45000076293945
2021-01-05,K,61.970001220703125,61.2599983215332,61.4900016784668,61.79999923706055,1630000,61.79999923706055
2021-01-06,K,61.75,60.88999938964844,61.20000076293945,61.31999969482422,2595700,61.31999969482422
2021-01-07,K,61.65999984741211,60.77000045776367,61.540000915527344,60.88999938964844,2517900,60.88999938964844
2021-01-08,K,61.400001525878906,59.5099983215332,60.91999816894531,60.20000076293945,3503900,60.20000076293945
2021-01-11,K,60.619998931884766,59.279998779296875,60.40999984741211,59.369998931884766,2941400,59.369998931884766
2021-01-12,K,59.529998779296875,57.849998474121094,59.5,58.560001373291016,3021200,58.560001373291016
2021-01-13,K,59.599998474121094,58.25,58.72999954223633,59.13999938964844,2350400,59.13999938964844
2021-01-14,K,59.4900016784668,58.7400016784668,59.4900016784668,59.04999923706055,5630900,59.04999923706055
2021-01-15,K,59.599998474121094,58.5099983215332,59.220001220703125,59.029998779296875,5053900,59.029998779296875
2021-01-19,K,59.79999923706055,58.0,59.439998626708984,58.459999084472656,3862800,58.459999084472656
2021-01-20,K,58.45000076293945,57.040000915527344,58.45000076293945,57.63999938964844,5202100,57.63999938964844
2021-01-21,K,57.900001525878906,57.25,57.68000030517578,57.88999938964844,2982300,57.88999938964844
2021-01-22,K,58.61000061035156,57.5099983215332,58.0,58.29999923706055,2241400,58.29999923706055
2021-01-25,K,60.880001068115234,58.18000030517578,58.31999969482422,59.84000015258789,4423100,59.84000015258789
2021-01-26,K,60.9900016784668,59.119998931884766,59.81999969482422,60.91999816894531,2949200,60.91999816894531
2021-01-27,K,63.41999816894531,61.0,61.16999816894531,62.36000061035156,6165400,62.36000061035156
2021-01-28,K,62.84000015258789,59.900001525878906,62.099998474121094,60.16999816894531,3270700,60.16999816894531
2021-01-29,K,60.75,58.790000915527344,60.0,58.939998626708984,5715200,58.939998626708984
2021-02-01,K,59.439998626708984,58.220001220703125,58.939998626708984,58.81999969482422,2823300,58.81999969482422
2021-02-02,K,59.25,57.86000061035156,58.900001525878906,58.45000076293945,2816700,58.45000076293945
2021-02-03,K,58.5,57.61000061035156,58.400001525878906,58.0099983215332,2306400,58.0099983215332
2021-02-04,K,58.290000915527344,57.709999084472656,57.9900016784668,57.869998931884766,3123200,57.869998931884766
2021-02-05,K,58.349998474121094,57.650001525878906,57.93000030517578,58.029998779296875,2948900,58.029998779296875
2021-02-08,K,58.220001220703125,57.209999084472656,58.16999816894531,57.7400016784668,3168800,57.7400016784668
2021-02-09,K,57.970001220703125,57.13999938964844,57.95000076293945,57.63999938964844,3344900,57.63999938964844
2021-02-10,K,58.58000183105469,57.779998779296875,58.150001525878906,58.11000061035156,3423200,58.11000061035156
2021-02-11,K,58.38999938964844,56.61000061035156,57.900001525878906,57.0,7772900,57.0
2021-02-12,K,57.93000030517578,56.93000030517578,57.02000045776367,57.380001068115234,3556400,57.380001068115234
